,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
0.5235987755982988,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.5410520681182421,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.5585053606381855,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.5759586531581288,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.5934119456780721,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6108652381980153,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6283185307179586,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6457718232379019,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6632251157578453,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6806784082777885,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.6981317007977318,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.7155849933176751,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.7330382858376184,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.7504915783575618,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
